cn_0,虽然通常没什么威力，但有很低的机率来一次杀死对方。
cn_1884,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：4级魔法（职业） \n效果：进入隐身状态5秒并获得5秒超级移速，同时持续8秒内呈现虚弱状态：物理防御减少20%、魔法防御减少20%、物理攻击力减少20%。"
cn_1885,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：4级魔法（职业） \n效果：近战物理攻击+5；与攻击提升互斥。"
cn_1886,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：3级血怒系魔法（觉醒） \n效果：2次近战物理攻击，攻击距离为3，只有在装备了锁镰时才有效。"
cn_1887,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：4级血怒系魔法（觉醒） \n效果：持续时间内，攻击时有几率附加3秒流血效果（按目标体力比例持续减少），只有在装备了锁镰时才有效。"
cn_1888,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：4级血怒系魔法（觉醒） \n效果：牺牲10%最大体力对目标使出灵魂一击，造成的伤害与自身所牺牲的体力量、物理攻击力有关；攻击距离为3，自身体力低于15%时不可使用，只有在装备了锁镰时才有效。"
cn_1889,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：3级暗影系魔法（觉醒） \n效果：持续时间内，攻击时有几率无视目标部分防御，只有在装备了双刀（30%防御）、双爪（50%防御）时才有效。"
cn_1890,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：4级暗影系魔法（觉醒） \n效果：持续时间内，攻击时有几率出现1.5倍最终伤害，只有在装备了双刀、双爪时才有效。"
cn_1891,"神秘的晶石，记录了暗夜精灵从古至今所有的战斗技巧。 \n分类：4级暗影系魔法（觉醒） \n效果：持续时间内，攻击时有几率出现双倍的武器攻击力，只有在装备了双刀、双爪时才有效。"
cn_1892,"任务物品，马洛斯为达特福德准备的军需物资，请送到达特福德村的\fW罗迪莎夫人\f>处。"
cn_1893,"任务物品，集齐\fW20个后请交给达特福德的\fW罗迪莎夫人\f>。"
cn_1894,"任务物品，到坐标显示的位置使用，即可获得任务物品「冰灵枝」，集齐\fW5\f>个「冰灵枝」交给达特福德村的\fW罗迪莎夫人\f>吧！"
cn_1895,"限时任务物品，过期消失。\n请尽快集齐\fW5\f>个交给达特福德村的\fW罗迪莎夫人\f>。"
cn_1896,"任务物品，集齐\fW30\f>个\fW布鲁铜\f>、\fW20\f>个\fW轮石\f>后一并交给达特福德村的\fW罗迪莎夫人\f>。"
cn_1897,"任务物品，集齐\fW20\f>个\fW魔锤晶\f>交给达特福德村的装备制作师\fW格里拉\f>。"
cn_1898,"任务物品，请送到达特福德村的\fW科莱\f>处。"
cn_1899,"任务物品，从暗黑精灵身上掉落的弓，似乎与暗黑精灵所用的不一样，请交给精灵园林的\fW恩尼亚里斯\f>看看。"
cn_1900,"任务物品，恩尼亚里斯让你将这石头交给\fW蒂罗尔将军\f>。"
cn_1901,"任务物品，从德雷克魔物身上掉落，集齐\fW10\f>个后与「被盗的物资」一并交给达特福德村的\fW蒂罗尔将军\f>。"
cn_1902,"任务物品，被德雷克魔物盗走的军需物资，集齐\fW10\f>个后与「有符文的石头」一并交给达特福德村的\fW蒂罗尔将军\f>。"
cn_1903,"任务物品，侏儒族的疗伤药，集齐\fW10\f>个后交侏儒城堡东南门外的\fW科沁\f>。"
cn_1904,"任务物品，集齐\fW12\f>个后交给达特福德村道具店的\fW巴塔\f>。"
cn_1905,"任务物品，不可使用，请交给侏儒城堡东南门外的\fW科沁\f>。"
cn_1906,"NULL"
cn_1907,"任务物品，从侏儒城堡外的树人法师身上掉落，集齐\fW50\f>个后交给侏儒城堡的\fW寇布拉\f>。"
cn_1908,"任务物品，请交给侏儒城堡里的\fW瓦尼\f>。"
cn_1909,"任务物品，请交给侏儒城堡里的\fW萨索尼将军\f>。"
cn_1910,"任务物品，集齐\fW10\f>个后交给侏儒城堡里的\fW朱尔\f>。"
cn_1911,"任务物品，到坐标显示的位置使用，即可获得任务物品「阵法控制石」，集齐4个「阵法控制石」交给侏儒城堡里的\fW朱尔\f>。"
cn_1912,"任务物品，集齐\fW4\f>个后交给侏儒城堡里的\fW朱尔\f>。"
cn_1913,"任务物品，集齐\fW50\f>个后与「火魂石」一并交给侏儒城堡里的\fW朱尔\f>。"
cn_1914,"任务物品，集齐\fW50\f>个后与「火焰极奥爪」一并交给侏儒城堡里的\fW朱尔\f>。"
cn_1915,"任务物品，从熔岩戈伦身上掉落，集齐\fW50\f>个后交给侏儒城堡里的\fW朱尔\f>。"
cn_1916,"任务物品，从火山地区的火蜥蜴和熔岩巨人身上掉落，集齐\fW100\f>个后交给侏儒城堡里的\fW朱尔\f>。"
cn_1917,"任务物品，金毛公羊身上的毛发，请交给水凌林城镇里的\fW天选者\f>处理。"
cn_1918,"任务物品，请交给达特福德村里的\fW蒂罗尔将军\f>。"
cn_1919,"暗红如血的票券，是勇士身经百战的的证明。\n可在侏儒城堡的提拉诺(32834,32942)处用于召唤侏儒将军。"
cn_1920,"珍稀的魔法典籍，源自创世神蒂安的祝福，蕴含高等法则之力。 \n分类：4级魔法（职业）\n效果：在持续时间内，自己对其他玩家角色施放攻击魔法时，无视目标30%的魔法防御，但自身的魔法防御下降20%，命中抵抗减弱15点。 \n学习要求：\n法师：40级"
cn_1921,"NULL"
cn_1922,"NULL"
cn_41000,"伊丁世界与创世神伊丁天堂签订的誓约之书\n此誓约书只能用于增加在伊丁大陆停留的时间"
cn_41001,"伊丁世界与创世神伊丁天堂签订的誓约之书\n此誓约书只能用于增加在伊丁大陆停留的时间"
cn_41002,"伊丁世界与创世神伊丁天堂签订的誓约之书\n此誓约书只能用于增加在伊丁大陆停留的时间"
cn_41003,"伊丁世界与创世神伊丁天堂签订的誓约之书\n此誓约书只能用于增加在伊丁大陆停留的时间"
cn_41004,"兽人族通过神秘仪式练成的变形结晶。\n可以用于解锁异化高级变形中的形象"
cn_41005,"兽人族通过神秘仪式练成的带有强大魔力的变形结晶。\n可以用于解锁异化高级变形中的魔化形象"
cn_41006,"装载着变形结晶的盒子，内含：\n魔物结晶 x1; 可以用于解锁异化高级变形中的形象\n魔化结晶 x1; 可以用于解锁异化高级变形中的魔化形象"
cn_41007,"装载着多个变形结晶的盒子，内含：\n魔物结晶 x4; 可以用于解锁异化高级变形中的形象\n魔化结晶 x4; 可以用于解锁异化高级变形中的魔化形象"
cn_41008,"冒险者凭此证才能到角色改名专员处兑换角色\fW角色改名卷轴\f>。\n此凭证每个角色每天最多购买一个。\n有效时间18小时。"
cn_41009,"使用后可获得35分钟时效的\fW材料狩猎通行证\f>，可用于进入不同的\fW狩猎区域\f>，身上已有\fW狩猎区域通行证\f>时不可使用此盒子。"
cn_41010,"\fW狩猎区域\f>的通行证，有效时间内可多次使用进入不同的狩猎区域狩猎制作材料。\n\fW使用者等级不同将被传送至不同的区域：\nLv40-49：隐藏之谷·誓Ⅰ。\nLv50-59：隐藏之谷·誓Ⅱ。\f>"
cn_42001,"NULL"
cn_42002,"NULL"
cn_42003,"NULL"
cn_42004,"NULL"
cn_42005,"NULL"
cn_42006,"NULL"
cn_42007,"NULL"
cn_42008,"NULL"
cn_42009,"NULL"
cn_42010,"NULL"
cn_42011,"NULL"
cn_42012,"NULL"
cn_42013,"NULL"
cn_42014,"NULL"
cn_42015,"NULL"
cn_42016,"写满诡异符文的卷轴，使用后可在一段时间内变为\f=恶魔射手。"
cn_42017,"解除中毒效果，并且可解除食尸鬼的麻痹效果。"
cn_42018,"瓶内装着青色魔法药水，使用后可解除中毒状态。\n任务道具\n（任务物品不可使用）"
cn_42019,"骑士职业试炼任务物品。\n任务道具"
cn_42020,"王族职业试炼任务物品。\n任务道具"
cn_42021,"法师职业试炼任务物品。\n任务道具"
cn_42022,"精灵职业试炼任务物品。\n任务道具"
cn_42023,"昂哥蜘蛛的毒牙。\n任务道具"
cn_42024,"伯特伦被护法者夺走的货物。\n任务道具"
cn_42025,"经由石头戈伦消化后的混合矿石。\n任务道具"
cn_42026,"NULL"
cn_42027,"污秽的气息凝结成的结晶体。\n任务道具"
cn_42028,"夜影的核心。\n任务道具"
cn_42029,"熊地精的力量核心。\n任务道具"
cn_42030,"食人魔体内凝结的力量结晶。"
cn_42031,"平民家中常见的建筑用材料。\n任务道具"
cn_42032,"兵蚁身上有时会生长着这种菌类，可以采集来当食物。"
cn_42033,"生物的毒素结晶化之后的晶体。"
cn_42034,"NULL"
cn_42035,"蜥蜴人身上带有的铭牌，用来证明它们的「士兵」身份。"
cn_42036,"巴西利斯克使用冰魔法的魔力源，一般越强的巴西利斯克体内越多。"
cn_42037,"精灵园林主线任务物品。莉雅赠予伊蒂丝的精灵之晶，请带上它找马洛斯地区的[守卫-枭风]。"
cn_42038,"精灵园林主线任务物品。莉雅赠予伊蒂丝的精灵之晶，请带上它找自然之地的[守卫-维尔]。"
cn_42039,"精灵园林主线任务物品。莉雅赠予伊蒂丝的精灵之晶，请带上它找自然之地的[守卫-塞恩]，需同时携带使用珍珠铲挖出的4颗珍珠。"
cn_42040,"精灵园林主线任务物品。在珍珠铲所显示坐标处使用，即可挖出感应到的珍珠。"
cn_42041,"精灵园林主线任务物品。在珍珠铲所显示坐标处使用，即可挖出感应到的珍珠。"
cn_42042,"精灵园林主线任务物品。在珍珠铲所显示坐标处使用，即可挖出感应到的珍珠。"
cn_42043,"精灵园林主线任务物品。在珍珠铲所显示坐标处使用，即可挖出感应到的珍珠。"
cn_42044,"精灵园林主线任务物品。由珍珠铲挖出的珍珠磨成。需交给莉雅。"
cn_42045,"精灵园林主线任务物品。[劳西安]的魔力能量宝石，适合用作迷雾魔法阵之心，请交给自然之地的[海安]。"
cn_42046,"精灵园林主线任务物品。击败妖魔村北面和妖魔城堡附近的兽人守卫获得。"
cn_42047,"精灵园林主线任务物品。击败妖魔村北面和妖魔城堡附近的兽人守卫获得。"
cn_42048,"精灵园林主线任务物品。击败邪恶兽人堕落者获得。"
cn_42049,"精灵园林主线任务物品。击败邪恶兽人堕落者获得。"
cn_42050,"精灵园林主线任务物品。击败黑暗精灵获得。"
cn_42051,"精灵园林主线任务物品。击败兽人、兽人战士获得。"
cn_42052,"精灵园林主线任务物品。使用珍珠铲挖出的珍珠，需交给自然之地的[守卫-塞恩]。"
cn_42053,"精灵园林主线任务物品。击败兽人、兽人战士获得。"
cn_42054,"兽人考验任务物品。"
cn_42055,"兽人考验任务物品。"
cn_42056,"兽人考验任务物品。"
cn_42057,"兽人考验任务物品。"
cn_42058,"任务物品\n在某个地点上有一个奇怪的标记的古老地图。"
cn_42059,"从\fW德拉斯[英雄]\f>那里获得的作为应许之岛的英雄的凭证。建议\fW50级前\f>凭此凭证到\fW德拉斯[英雄]\f>那里换取\fW英雄礼包\f>和\fW英雄药水\f>。"
cn_42060,"粗糙的动物的毛皮。拿到马洛斯城镇的贾克斯处可以制作成用于制作防具或者饰品的皮革。"
cn_42061,"经过打磨制作的皮革，可用于制作防具或者饰品。"
cn_42062,"暗魂骑士小队长的佩剑"
cn_42063,"从消散后的贝雷特影子处获得的法杖"
cn_42064,"地牢屠戮者手持的长矛"
cn_42065,"古道屠戮者手持的长矛"
cn_42066,"作为对亚瑟王的后裔忠诚的证明"
cn_42067,"作为对亚瑟王的后裔忠诚的证明"
cn_42068,"作为对亚瑟王的后裔忠诚的证明"
cn_42069,"作为亚瑟王血统继承人、伊丁大陆正统王室的证明。"
cn_42070,"由骑特拉城镇的工匠阿普顿打造的，作为对亚瑟王的后裔忠诚的证明。这个徽章上雕刻着代表着骑士的大盾。将它交给你所追随的王者，示意你支持他成为你未来的王。"
cn_42071,"由骑特拉城镇的工匠阿普顿打造的，作为对亚瑟王的后裔忠诚的证明。这个徽章上雕刻着代表着精灵一族的弓。将它交给你所追随的王者，示意你支持他成为你未来的王。"
cn_42072,"由骑特拉城镇的工匠阿普顿打造的，作为对亚瑟王的后裔忠诚的证明。这个徽章上雕刻着代表着法师的魔杖。将它交给你所追随的王者，示意你支持他成为你未来的王。"
cn_42073,"由骑特拉城镇的工匠阿普顿打造的，作为亚瑟王血统继承人、伊丁大陆正统王室的证明。"
cn_42074,"由经过强化的初心者装备分解而成的魔晶石。可以用于制作饰品和部分稀有装备。"
cn_42075,"任务道具\n魔物猎人工会分会会长写给会长的介绍信。信封已经被封存了，你并不知道里面具体写的是什么。\n将它交给位于达特福德的魔物猎人工会会长。"
cn_42076,"魔物猎人工会出售的初级狩猎凭证。\n进行初级狩猎任务时，会需要提交一个初级狩猎凭证才能继续进行任务。\n狩猎凭证有效时间为一周\n身上可同时存在多个相同的狩猎凭证。"
cn_42077,"魔物猎人工会出售的中级狩猎凭证。\n进行中级狩猎任务时，会需要提交一个中级狩猎凭证才能继续进行任务。\n狩猎凭证有效时间为一周\n身上可同时存在多个相同的狩猎凭证。"
cn_42078,"魔物猎人工会出售的高级狩猎凭证。\n进行高级狩猎任务时，会需要提交一个高级狩猎凭证才能继续进行任务。\n狩猎凭证有效时间为一周\n身上可同时存在多个相同的狩猎凭证。"
cn_42079,"商人协会出售的动物材料收集凭证。\n进行动物材料收集任务时，会需要提交一个动物材料收集凭证才能继续进行任务。\n材料收集凭证有效时间为一周\n身上可同时存在多个相同的材料收集凭证。"
cn_42080,"商人协会出售的金属材料收集凭证。\n进行金属材料收集任务时，会需要提交一个金属材料收集凭证才能继续进行任务。\n材料收集凭证有效时间为一周\n身上可同时存在多个相同的材料收集凭证。"
cn_42081,"商人协会出售的宝石材料收集凭证。\n进行宝石材料收集任务时，会需要提交一个宝石材料收集凭证才能继续进行任务。\n材料收集凭证有效时间为一周\n身上可同时存在多个相同的材料收集凭证。"
cn_42082,"记录了马洛斯地监深处魔物信息的纸片。"
cn_42083,"记录了妖魔地区兽人信息的纸片。"
cn_42084,"记录了稀有魔物信息的纸片。"
cn_42085,"记录了特殊魔物信息的纸片。"
cn_42086,"记录了马洛斯地监魔物信息的纸片。"
cn_42087,"商人协会出售的贵金属材料收集凭证。\n进行贵金属材料收集任务时，会需要提交一个贵金属材料收集凭证才能继续进行任务。\n材料收集凭证有效时间为一周\n身上可同时存在多个相同的材料收集凭证。"
cn_43000,"记载着防具研究心得的卷轴，蕴含了强化矿石的魔力，可对初心者的防具进行强化升级。"
cn_43001,"记载着武器研究心得的卷轴，蕴含了强化矿石的魔力，可对初心者的武器进行强化升级。"
cn_43002,"蕴含可以强化装备的魔法能量矿石。\n可以拿到武器或者防具制作师那里提炼加工成为初心者武器或防具的强化卷轴。"
cn_43003,"蕴含强大邪恶力量的晶石。一般人都会对其敬而远之。\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43004,"从栖息在地监深处的昆虫口中采集到的唾液样本。显然，一般人无法理解为什么要采集这种样本。\n鲁弗斯[收集]会对这件物品感兴趣。"
cn_43005,"戈伦魔物身上的碎片\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43006,"蕴含强大邪恶力量的晶石。一般人都会对其敬而远之。\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43007,"古代战场遗留下来的残缺碎片。\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43008,"人狼族的尖牙。\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43009,"一个被打坏的兽人图腾。\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43010,"兽人族持有的图腾，能感觉到有微弱的魔力从中散发出来\n鲁弗斯[收集]会对这件物品感兴趣。可以出售换取金币。"
cn_43011,"古老的兽人图腾，能让持有者提升魔力\n鲁弗斯[收集]会对这件物品感兴趣。\n任务道具"
cn_43012,"坚硬耐磨的奥钢"
cn_43013,"水之贤者留下的衣物，但是已经损坏。可以拿去给防具制作师看看能不能修复。\n制作[斯韦丹之帽]的必需品。"
cn_43014,"风之贤者留下的衣物，但是已经损坏。可以拿去给防具制作师看看能不能修复。\n制作[恩多之帽]的必需品。"
cn_43015,"土之贤者留下的衣物，但是已经损坏。可以拿去给防具制作师看看能不能修复。\n制作[索罗纳的法袍]的必需品。"
cn_43016,"深红色的布料，大小刚好适合用来制作披风。\n用于制作强力装备的材料。"
cn_43017,"沙漠巨蝎的绿色毒液。虽然含有剧毒，但是通过处理之后可以用来制作染料。\n用于制作强力装备的材料。"
cn_43018,"含有大量魔力的结晶石。\n用于制作强力装备的材料。"
cn_43019,"龙族特有的坚硬的鳞片，打磨之后可以用来制作強力装备。"
cn_43020,"骑士的勇气与忠义的证明。\n用于制作强力装备的材料。"
cn_43021,"布伦丹使用的剑，但貌似已经损毁。\n如果拿到武器制作师处修复的话，可能会成为强大的武器。"
cn_43022,"曾经在德雷克山脉一带生长的树木的树枝。\n可用于制作强大的弓。"
cn_43023,"被诅咒的巴风特的魔杖。一般人无法唤醒其魔力。\n可以拿到武器制作师处制作强大的法杖。"
cn_43024,"已经毁坏掉的巨人棍棒。\n可以拿到武器制作师处制作强大的钝器。"
cn_43025,"通过七天登录奖励集齐防御耳饰兑换券1、2、3之后，可到骑特拉城镇的海伦娜[饰品商人]处兑换防御耳饰。兑换券有有效期限，请在有效期限之前前往兑换。"
cn_43026,"通过七天登录奖励集齐防御耳饰兑换券1、2、3之后，可到骑特拉城镇的海伦娜[饰品商人]处兑换防御耳饰。兑换券有有效期限，请在有效期限之前前往兑换。"
cn_43027,"通过七天登录奖励集齐防御耳饰兑换券1、2、3之后，可到骑特拉城镇的海伦娜[饰品商人]处兑换防御耳饰。兑换券有有效期限，请在有效期限之前前往兑换。"
cn_43029,"持有此券者，可免费进入一次马洛斯酒店。在酒店停留期间，体力和魔力恢复会大幅度提升。"
cn_43030,"通过向开发者汇报《伊丁天堂》世界里面出现的各种有违常理的现象（BUG）而获得的奖励。\n这卷轴记录着你与开发者之间深厚的友谊。可凭此卷轴到马洛斯的欧朗[友谊积分]处换取道具。"
cn_43031,"经过天启者精炼过的，带有火元素属性的源晶。可用于对武器进行1级元素强化。"
cn_43032,"经过天启者精炼过的，带有火元素属性的源晶。可用于对武器进行2级元素强化。"
cn_43033,"经过天启者精炼过的，带有火元素属性的源晶。可用于对武器进行3级元素强化。"
cn_43034,"经过天启者精炼过的，带有火元素属性的源晶。可用于对武器进行4级元素强化。"
cn_43035,"经过天启者精炼过的，带有火元素属性的源晶。可用于对武器进行5级元素强化。"
cn_43036,"经过天启者精炼过的，带有水元素属性的源晶。可用于对武器进行1级元素强化。"
cn_43037,"经过天启者精炼过的，带有水元素属性的源晶。可用于对武器进行2级元素强化。"
cn_43038,"经过天启者精炼过的，带有水元素属性的源晶。可用于对武器进行3级元素强化。"
cn_43039,"经过天启者精炼过的，带有水元素属性的源晶。可用于对武器进行4级元素强化。"
cn_43040,"经过天启者精炼过的，带有水元素属性的源晶。可用于对武器进行5级元素强化。"
cn_43041,"经过天启者精炼过的，带有风元素属性的源晶。可用于对武器进行1级元素强化。"
cn_43042,"经过天启者精炼过的，带有风元素属性的源晶。可用于对武器进行2级元素强化。"
cn_43043,"经过天启者精炼过的，带有风元素属性的源晶。可用于对武器进行3级元素强化。"
cn_43044,"经过天启者精炼过的，带有风元素属性的源晶。可用于对武器进行4级元素强化。"
cn_43045,"经过天启者精炼过的，带有风元素属性的源晶。可用于对武器进行5级元素强化。"
cn_43046,"经过天启者精炼过的，带有土元素属性的源晶。可用于对武器进行1级元素强化。"
cn_43047,"经过天启者精炼过的，带有土元素属性的源晶。可用于对武器进行2级元素强化。"
cn_43048,"经过天启者精炼过的，带有土元素属性的源晶。可用于对武器进行3级元素强化。"
cn_43049,"经过天启者精炼过的，带有土元素属性的源晶。可用于对武器进行4级元素强化。"
cn_43050,"经过天启者精炼过的，带有土元素属性的源晶。可用于对武器进行5级元素强化。"
cn_43051,"带有火属性的矿石，能和天启源晶精炼出属性源晶的神奇结晶。\n天启者进行属性源晶精炼的必备素材。"
cn_43052,"带有水属性的矿石，能和天启源晶精炼出属性源晶的神奇结晶。\n天启者进行属性源晶精炼的必备素材。"
cn_43053,"带有风属性的矿石，能和天启源晶精炼出属性源晶的神奇结晶。\n天启者进行属性源晶精炼的必备素材。"
cn_43054,"带有土属性的矿石，能和天启源晶精炼出属性源晶的神奇结晶。\n天启者进行属性源晶精炼的必备素材。"
cn_44000,"一把普通的铁制匕首。简单但是容易使用。"
cn_44001,"只能使用[初心者武器强化卷轴]进行强化，最多只能强化到6级"
cn_44002,"银制的单手剑\n能对邪恶系、人狼族怪物造成额外1-15点伤害"
cn_44003,"英勇骑士的象征\n骑士47级试炼任务奖励"
cn_44004,"轻巧细长的双刃剑"
cn_44005,"精钢打造的大剑，剑身比一般的单手剑要厚重"
cn_44006,"精钢打造的长剑，剑身比一般的单手剑要厚重\n即便是直属骑士团中，能熟练挥舞这把剑的人也很少"
cn_44007,"模仿传说中亚瑟王的圣剑改造而成的单手剑\n但是因为圣剑已经失传，无法确定是否真的是按照圣剑的模样来改造\n奥钢材质能对邪恶系、人狼族、恶魔族魔物造成额外1-25点伤害\对龙族造成额外1-5点伤害\n套装部件：\n亚瑟王的圣剑（赝品）\n亚瑟王的铠甲（赝品）\n王者之风\n激活套装后：防御-10，力量+5，体质/敏捷/智力/精神/毅力+3，体力+200，魔力+20，体力/魔力恢复+2，魔防+5，土、风、水、火属性防御+2%"
cn_44008,"仿照反王军统帅、阿提拉王任命的邪恶主教布伦丹的佩剑打造而成\n蕴含着增强持有者力量的魔力\n对兽人造成额外1-20点伤害\n黑色秘银材质能对邪恶系、人狼族、恶魔族魔物造成额外1-20点伤害"
cn_44009,"奥钢融合飞龙的鳞片打造而成的单手剑\n奥钢材质能对邪恶系、人狼族、恶魔族魔物造成额外1-25点伤害\n每两级强化能增加1点力量。"
cn_44010,"普通的弓。适合新人使用。"
cn_44011,"只能使用[初心者武器强化卷轴]进行强化，最多只能强化到6级"
cn_44012,"由精灵族优秀的制作师精制而成的弓。"
cn_44013,"结合了人类智慧与精灵工艺打造的长弓。"
cn_44014,"使用即将腐朽的木材，结合魔法媒介制作而成的弓。强化所获得的伤害收益比普通的弓要低，但是会增强持有者的魔法伤害。"
cn_44015,"仿照古代精灵族最优秀的猎人所用之弓而制成。"
cn_44016,"仿照传说中蒂安神子女中的樊迪所使用的弓而打造而成。\n每两级强化能增加1点敏捷。"
cn_44017,"适合新手使用的法杖\n使用此魔杖进行物理攻击时，可吸收目标的魔力。"
cn_44018,"使用此魔杖进行物理攻击时，可吸收目标的魔力。\n只能使用[初心者武器强化卷轴]进行强化，最多只能强化到6级\n套装部件：\n初心者魔杖\n初心者法袍\n激活套装后：防御-1，魔力+10，力量+1"
cn_44019,"镶嵌着魔力结晶的魔杖。采取物理攻击时，能有效吸收对方的魔力。"
cn_44020,"银打造的法力魔杖。除了吸收对方的魔力，更能够对邪恶系、人狼族、恶魔族魔物造成额外伤害。"
cn_44021,"黄金打造的法杖。"
cn_44022,"NULL"
cn_44023,"以奥钢为材料，镶嵌着名为“伊娃之泪”的晶石打造而成的魔杖。\n采用物理攻击时，能对邪恶系、人狼族、恶魔族魔物造成额外1-25点伤害"
cn_44024,"解除了魔力封印的巴风特之杖，但其诅咒仍然依附于其中。\n精神-2\n对恶魔族增加1-25点物理伤害。"
cn_44025,"适合新手使用的匕首，旧亚瑟王朝的象征"
cn_44026,"钨钢打造的流星锤。攻城战时能对城门造成更多伤害。\n只能使用[初心者武器强化卷轴]进行强化，最多只能强化到6级"
cn_44027,"钨钢打造的巨大铁锤。攻城战时能对城门造成更多伤害。"
cn_44028,"用巨人们使用的大棍棒改造的钝器。十分之笨重，但是威力惊人。"
cn_44029,"钨钢打造的巨大斧头。除了攻城时能对城门造成更多伤害之外，对兽人族和其他玩家都能造成额外伤害。"
cn_44030,"长柄战矛，开刃见血。\n奥钢材质对邪恶系、人狼族、恶魔族造成额外1-25点伤害。"
cn_44031,"兽人部落使用的长矛，能对兽人族造成额外伤害。"
cn_44032,"泛着淡绿光芒的匕首"
cn_44033,"采用秘银精制而成的匕首。对邪恶系、人狼族、恶魔族造成额外1-20点伤害。对其它玩家角色造成额外伤害。"
cn_44034,"适合新手使用的短剑"
cn_45000,"一件老旧的防具，只能稍微增加你的生存能力"
cn_45001,"只能使用「初心者防具强化卷轴」进行强化，最多只能强化到4级\n套装部件：\n初心者皮甲\n初心者单肩披风\n激活套装后：防御-1，敏捷+1"
cn_45002,"只能使用「初心者防具强化卷轴」进行强化，最多只能强化到4级\n套装部件：\n初心者魔杖\n初心者法袍\n激活套装后：防御-1，魔力+10，力量+1"
cn_45003,"只能使用「初心者防具强化卷轴」进行强化，最多只能强化到4级\n套装部件：\n初心者盔甲\n初心者大盾\n激活套装后：防御-1，物理减伤+1"
cn_45004,"每级强化：防御-1，额外体力\n骨头套装部件：\n骨盔\n骨甲\n骨盾\n激活套装后：防御-2，体力+15，体力恢复+2，物理减伤+1"
cn_45005,"仿照传说中亚瑟王的铠甲打造而成。套装部件：\n亚瑟王的圣剑（赝品）\n亚瑟王的铠甲（赝品）\n王者之风\n激活套装后：防御-10，力量+5，体质/敏捷/智力/精神/毅力+3，体力+200，魔力+20，体力/魔力恢复+2，魔防+5，土、风、水、火属性防御+2%"
cn_45006,"强化+6起，每强化1级，物理减伤+1\n套装部件：\n精钢铠甲\n精钢头盔\n精钢手套\n精钢长靴\n精钢盾牌\n激活套装后：防御-3，物理减伤+1"
cn_45007,"每强化2级，物理减伤+1"
cn_45008,"每强化2级，物理减伤+1\n每强化1级，体力恢复+1"
cn_45009,"强化6级起，每级增加额外的命中抵抗"
cn_45010,"每强化2级，命中抵抗+1"
cn_45011,"索罗纳的魔法长袍。\n每强化2级，命中抵抗+1\n每强化2级，物理減免+1\n每级强化增加额外体力和魔力"
cn_45500,"一件老旧的防具，只能稍微增加你的生存能力"
cn_45501,"只能使用「初心者防具强化卷轴」进行强化，最多只能强化到4级"
cn_45502,"每级强化：防御-1，额外体力\n骨头套装部件：\n骨盔\n骨甲\n骨盾\n激活套装后：防御-2，体力+15，体力恢复+2，物理减伤+1"
cn_45503,"强化+6起，每强化1级，物理减伤+1"
cn_45504,"强化+6起，每强化1级，物理减伤+1\n套装部件：\n精钢铠甲\n精钢头盔\n精钢手套\n精钢长靴\n精钢盾牌\n激活套装后：防御-3，物理减伤+1"
cn_45505,"每强化2级，物理减伤+1\n强化+7起，每强化1级，物理减伤+1"
cn_45506,"每强化2级，物理减伤+1\n强化+7起，每强化1级，物理减伤+1"
cn_45507,"强化+6起，每强化1级，命中抵抗+1"
cn_45508,"每强化1级，魔防+1"
cn_45509,"每强化2级，命中抵抗+1\n强化+7起，每强化1级，命中抵抗+1\n套装部件：\n精灵游侠头盔\n精灵游侠手套\n精灵游侠护腿\n激活套装后：敏捷+2，体质+5，物理减伤+2"
cn_45510,"斯韦丹的魔法软帽。\n每强化2级，命中抵抗+1\n强化+5增加1点魔攻\n强化+6增加2点魔攻\n强化+8增加3点魔攻\n强化+10增加4点魔攻"
cn_45511,"恩多的魔法软帽。\n每强化2级，命中抵抗+1\n每强化1级，魔防+1\n每级强化增加体力"
cn_45512,"带有神秘魔力的头盔，但是已经破损，无法发挥全部能力。\n装备后能够施展中级治愈术。"
cn_45513,"带有神秘魔力的头盔。\n装备后能够施展中级治愈术和高级治愈术。\n强化+6起，每强化1级，命中抵抗+1"
cn_45514,"奇幻的魔法头盔，但已经破损，无法发挥全部能力。\n装备后能够施展附魔武器。"
cn_45515,"奇幻的魔法头盔。\n装备后能够施展附魔武器和体魄强健术。"
cn_46000,"一件老旧的防具，只能稍微增加你的生存能力"
cn_46001,"只能使用「初心者防具强化卷轴」进行强化，最多只能强化到4级"
